EnglishDate,NepaliDate,Max,Min,Wind,Rain,Humidity,Cloud,Pressure
2022-1-3,2078-9-19,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-3,2079-9-19,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-4,2065-9-20,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-4,2066-9-20,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-4,2067-9-20,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-4,2068-9-20,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-4,2069-9-20,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-4,2070-9-20,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-4,2071-9-20,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-4,2072-9-20,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-4,2073-9-20,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-4,2074-9-20,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-4,2075-9-20,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-4,2076-9-19,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-4,2077-9-20,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-4,2078-9-20,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-4,2079-9-20,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-5,2065-9-21,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-5,2066-9-21,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-5,2067-9-21,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-5,2068-9-21,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-5,2069-9-21,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-5,2070-9-21,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-5,2071-9-21,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-5,2072-9-21,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-5,2073-9-21,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-5,2074-9-21,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-5,2075-9-21,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-5,2076-9-20,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-5,2077-9-21,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-5,2078-9-21,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-5,2079-9-21,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-6,2065-9-22,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-6,2066-9-22,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-6,2067-9-22,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-6,2068-9-22,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-6,2069-9-22,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-6,2070-9-22,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-6,2071-9-22,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-6,2072-9-22,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-6,2073-9-22,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-6,2074-9-22,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-6,2075-9-22,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-6,2076-9-21,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-6,2077-9-22,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-6,2078-9-22,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-6,2079-9-22,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-7,2065-9-23,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-7,2066-9-23,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-7,2067-9-23,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-7,2068-9-23,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-7,2069-9-23,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-7,2070-9-23,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-7,2071-9-23,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-7,2072-9-23,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-7,2073-9-23,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-7,2074-9-23,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-7,2075-9-23,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-7,2076-9-22,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-7,2077-9-23,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-7,2078-9-23,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-7,2079-9-23,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-8,2065-9-24,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-8,2066-9-24,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-8,2067-9-24,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-8,2068-9-24,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-8,2069-9-24,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-8,2070-9-24,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-8,2071-9-24,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-8,2072-9-24,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-8,2073-9-24,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-8,2074-9-24,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-8,2075-9-24,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-8,2076-9-23,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-8,2077-9-24,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-8,2078-9-24,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-8,2079-9-24,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-9,2065-9-25,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-9,2066-9-25,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-9,2067-9-25,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-9,2068-9-25,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-9,2069-9-25,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-9,2070-9-25,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-9,2071-9-25,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-9,2072-9-25,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-9,2073-9-25,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-9,2074-9-25,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-9,2075-9-25,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-9,2076-9-24,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-9,2077-9-25,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-9,2078-9-25,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-9,2079-9-25,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-10,2065-9-26,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-10,2066-9-26,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-10,2067-9-26,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-10,2068-9-26,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-10,2069-9-26,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-10,2070-9-26,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-10,2071-9-26,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-10,2072-9-26,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-10,2073-9-26,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-10,2074-9-26,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-10,2075-9-26,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-10,2076-9-25,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-10,2077-9-26,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-10,2078-9-26,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-10,2079-9-26,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-11,2065-9-27,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-11,2066-9-27,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-11,2067-9-27,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-11,2068-9-27,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-11,2069-9-27,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-11,2070-9-27,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-11,2071-9-27,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-11,2072-9-27,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-11,2073-9-27,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-11,2074-9-27,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-11,2075-9-27,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-11,2076-9-26,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-11,2077-9-27,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-11,2078-9-27,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-11,2079-9-27,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-12,2065-9-28,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-12,2066-9-28,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-12,2067-9-28,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-12,2068-9-28,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-12,2069-9-28,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-12,2070-9-28,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-12,2071-9-28,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-12,2072-9-28,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-12,2073-9-28,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-12,2074-9-28,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-12,2075-9-28,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-12,2076-9-27,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-12,2077-9-28,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-12,2078-9-28,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-12,2079-9-28,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-13,2065-9-29,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-13,2066-9-29,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-13,2067-9-29,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-13,2068-9-29,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-13,2069-9-29,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-13,2070-9-29,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-13,2071-9-29,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-13,2072-9-29,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-13,2073-9-29,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-13,2074-9-29,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-13,2075-9-29,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-13,2076-9-28,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-13,2077-9-29,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-13,2078-9-29,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-13,2079-9-29,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-14,2065-10-1,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-14,2066-9-30,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-14,2067-9-30,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-14,2068-9-30,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-14,2069-10-1,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-14,2070-9-30,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-14,2071-9-30,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-14,2072-9-30,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-14,2073-10-1,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-14,2074-9-30,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-14,2075-9-30,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-14,2076-9-29,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-14,2077-10-1,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-14,2078-9-30,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-14,2079-9-30,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-15,2065-10-2,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-15,2066-10-1,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-15,2067-10-1,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-15,2068-10-1,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-15,2069-10-2,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-15,2070-10-1,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-15,2071-10-1,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-15,2072-10-1,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-15,2073-10-2,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-15,2074-10-1,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-15,2075-10-1,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-15,2076-10-1,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-15,2077-10-2,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-15,2078-10-1,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-15,2079-10-1,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-16,2065-10-3,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-16,2066-10-2,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-16,2067-10-2,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-16,2068-10-2,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-16,2069-10-3,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-16,2070-10-2,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-16,2071-10-2,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-16,2072-10-2,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-16,2073-10-3,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-16,2074-10-2,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-16,2075-10-2,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-16,2076-10-2,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-16,2077-10-3,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-16,2078-10-2,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-16,2079-10-2,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-17,2065-10-4,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-17,2066-10-3,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-17,2067-10-3,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-17,2068-10-3,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-17,2069-10-4,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-17,2070-10-3,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-17,2071-10-3,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-17,2072-10-3,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-17,2073-10-4,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-17,2074-10-3,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-17,2075-10-3,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-17,2076-10-3,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-17,2077-10-4,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-17,2078-10-3,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-17,2079-10-3,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-18,2065-10-5,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-18,2066-10-4,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-18,2067-10-4,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-18,2068-10-4,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-18,2069-10-5,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-18,2070-10-4,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-18,2071-10-4,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-18,2072-10-4,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-18,2073-10-5,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-18,2074-10-4,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-18,2075-10-4,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-18,2076-10-4,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-18,2077-10-5,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-18,2078-10-4,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-18,2079-10-4,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-19,2065-10-6,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
